TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
Обыкновенный нацизм. Переформатирование сознания украинцев в действии,"обыкновен,нацизм,переформатирован,сознан,украинец,действ",действ (0.698;0.643;0.500) ,0.698,0.643,0.5
Порошенко грубо оскорбил жителя Черкасс за вопрос о коррупции,"порошенк,груб,оскорбля,жител,черкасс,вопрос,коррупц","груб (0.333;0.481;0.481) ,вопрос (0.316;0.819;0.351) ,коррупц (0.052;0.830;0.549) ",0.234,0.71,0.46
Томос-тур Порошенко: Избирательная кампания миллиардера за счет налогоплательщиков,"томос,тур,порошенк,избирательн,кампан,миллиардер,счет,налогоплательщик",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Епифаний не считает себя подчиненным Варфоломея,"епифан,счита,подчинен,варфолом","счита (0.500;0.562;0.547) ,подчинен (0.354;0.408;0.539) ",0.427,0.485,0.543
"Предстоятель ""новой церкви"" Украины заявил","предстоятел,нов,церков,украин,заявля",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
"Глава ""новой церкви"" Украины объявил о неподчинении Константинополю","глав,нов,церков,украин,объявля,неподчинен,константинопол","глав (0.550;0.410;0.345) ,нов (0.917;0.490;0.582) ",0.734,0.45,0.463
Глава ПЦУ отказался подчиняться Константинополю,"глав,пцу,отказыва,подчиня,константинопол","глав (0.550;0.410;0.345) ,отказыва (0.235;0.509;0.321) ",0.393,0.46,0.333
Порошенко назвал провокацией вопрос о борьбе с коррупцией,"порошенк,называ,провокац,вопрос,борьб,коррупц","вопрос (0.316;0.819;0.351) ,коррупц (0.052;0.830;0.549) ",0.184,0.825,0.45
"Глава ""новой церкви"" Украины заявил","глав,нов,церков,украин,заявля","глав (0.550;0.410;0.345) ,нов (0.917;0.490;0.582) ",0.734,0.45,0.463
"Порошенко отжигает в ""томос-туре"": Кирилл и Путин во всем виноваты","порошенк,отжига,томос,тур,кирилл,путин,виноват",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Европейские ценности пришли! Весь Киев шокирован новыми платежками за газ,"европейск,ценност,приход,ве,ки,шокирова,нов,платежк,газ","ки (0.521;0.433;0.484) ,нов (0.917;0.490;0.582) ,газ (0.396;0.408;0.519) ",0.611,0.444,0.528
Неудобный вопрос. Порошенко выбил смартфон из рук снимавшего его украинца,"неудобн,вопрос,порошенк,выбива,смартфон,рук,снима,украинец","неудобн (0.224;0.610;0.375) ,вопрос (0.316;0.819;0.351) ",0.27,0.714,0.363
Аксёнов: Население Украины для Порошенко - расходный материал,"акс,нов,населен,украин,порошенк,расходн,материа",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
"Главу украинских раскольников официально ""интронизируют"" в день рождения","глав,украинск,раскольник,официальн,интронизирова,ден,рожден","глав (0.550;0.410;0.345) ,рожден (0.896;0.655;0.536) ",0.723,0.532,0.441
В Виннице шеф-редактора телеканала уволили за сюжет о канонической УПЦ,"винниц,шеф,редактор,телекана,увольня,сюжет,каноническ,упц",сюжет (0.469;0.567;0.510) ,0.469,0.567,0.51
Правозащитники отмечают значительное ограничение свободы СМИ на Украине в 2018 году,"правозащитник,отмеча,значительн,ограничен,свобод,сми,украин,год",ограничен (0.365;0.539;0.569) ,0.365,0.539,0.569
