NAME,TOKENS
"Порошенко отправил украинца ""помолиться"" после вопроса о коррупции","порошенк,отправля,украинец,помол,вопрос,коррупц"
Православная епархия в Западной Европе отказалась подчиняться Константинополю,"православн,епарх,западн,европ,отказыва,подчиня,константинопол"
У входа в собор в украинских Сумах во время службы произошел взрыв,"вход,собор,украинск,сум,врем,служб,происход,взрыв"
Вся Украина для Варфоломея. Как фанариотов испортил украинский вопрос,"ве,украин,варфолом,фанариот,испорт,украинск,вопрос"
Правозащитники сообщили,"правозащитник,сообща"
Выборы на Украине. Волынский бунт и разоблачение Зеленского,"выбор,украин,волынск,бунт,разоблачен,зеленск"
Неадекватному Порошенко врезали в церкви за коррупцию,"неадекватн,порошенк,вреза,церков,коррупц"
Оппоблок намерен обжаловать церковный закон Украины в конституционном суде,"оппоблок,намер,обжалова,церковн,закон,украин,конституцион,суд"
Новая украинская церковь провозгласила независимость от Константинополя,"нов,украинск,церков,провозглаша,независим,константинопол"
Порошенко назвал провокатором украинца,"порошенк,называ,провокатор,украинец"
Медведчук опасается раскола украинского общества из-за религии,"медведчук,опаса,раскол,украинск,обществ,религ"
На Украине выражать и отстаивать свое мнение становится опасно,"украин,выража,отстаива,сво,мнен,станов,опасн"
Порошенко ответил бандеровским привествием на вопрос о коррупции,"порошенк,отвеча,бандеровск,привеств,вопрос,коррупц"
Предстоятель новой церкви Украины заявил,"предстоятел,нов,церков,украин,заявля"
Обыкновенный нацизм. Переформатирование сознания украинцев в действии,"обыкновен,нацизм,переформатирован,сознан,украинец,действ"
Порошенко грубо оскорбил жителя Черкасс за вопрос о коррупции,"порошенк,груб,оскорбля,жител,черкасс,вопрос,коррупц"
Томос-тур Порошенко: Избирательная кампания миллиардера за счет налогоплательщиков,"томос,тур,порошенк,избирательн,кампан,миллиардер,счет,налогоплательщик"
Епифаний не считает себя подчиненным Варфоломея,"епифан,счита,подчинен,варфолом"
Под предлогом борьбы с Россией. Первые медиажертвы церковного раскола,"предлог,борьб,росс,перв,медиажертв,церковн,раскол"
"Предстоятель ""новой церкви"" Украины заявил","предстоятел,нов,церков,украин,заявля"
"Глава ""новой церкви"" Украины объявил о неподчинении Константинополю","глав,нов,церков,украин,объявля,неподчинен,константинопол"
Глава ПЦУ отказался подчиняться Константинополю,"глав,пцу,отказыва,подчиня,константинопол"
Порошенко назвал провокацией вопрос о борьбе с коррупцией,"порошенк,называ,провокац,вопрос,борьб,коррупц"
